table_name,columns
content_moderation_queue,"id uuid, content_type text, content_id uuid, priority text, reason text, report_count integer, first_reported_at timestamp with time zone, last_reported_at timestamp with time zone, assigned_to uuid, assigned_at timestamp with time zone, status text, created_at timestamp with time zone, updated_at timestamp with time zone"
content_quality_scores,"id uuid, content_type text, content_id uuid, user_id uuid, user_name text, score numeric, factors jsonb, created_at timestamp with time zone, updated_at timestamp with time zone"
conversations,"id uuid, listing_id uuid, participant_1 uuid, participant_2 uuid, last_message_content text, last_message_type text, last_message_at timestamp with time zone, last_message_sender_id uuid, unread_count_p1 integer, unread_count_p2 integer, last_read_p1 timestamp with time zone, last_read_p2 timestamp with time zone, is_active boolean, is_archived_p1 boolean, is_archived_p2 boolean, is_deleted_p1 boolean, is_deleted_p2 boolean, context_type text, context_data jsonb, created_at timestamp with time zone, updated_at timestamp with time zone, is_permanently_deleted_p1 boolean, is_permanently_deleted_p2 boolean, permanently_deleted_at_p1 timestamp with time zone, permanently_deleted_at_p2 timestamp with time zone, deletion_reason_p1 text, deletion_reason_p2 text, moderation_status text, last_moderated_at timestamp with time zone, moderated_by uuid, moderation_reason text, reported_count integer"
credit_purchases,"id uuid, user_id uuid, package_id character varying, package_name character varying, credits_amount integer, price_amount numeric, currency character varying, payment_method character varying, payment_status character varying, payment_reference character varying, mobile_money_number character varying, mobile_money_provider character varying, created_at timestamp with time zone, completed_at timestamp with time zone, is_flagged boolean, flagged_reason text, flagged_at timestamp with time zone, risk_score integer, refunded_at timestamp with time zone, refund_reason text"
credit_transactions,"id uuid, user_id uuid, transaction_type character varying, amount integer, description text, reference_id uuid, reference_type character varying, created_at timestamp with time zone, is_flagged boolean, flagged_reason text, flagged_at timestamp with time zone, risk_score integer"
data_export_requests,"id uuid, user_id uuid, request_type text, status text, file_url text, expires_at timestamp with time zone, created_at timestamp with time zone, completed_at timestamp with time zone, error_message text"
faqs,"id uuid, question text, answer text, category uuid, priority integer, views integer, helpful_count integer, is_active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
favorites,"id uuid, user_id uuid, listing_id uuid, created_at timestamp with time zone"
feature_configurations,"id uuid, feature_id text, feature_name text, credits_cost integer, is_one_time boolean, duration_hours integer, description text, is_active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
feature_purchases,"id uuid, user_id uuid, listing_id uuid, feature_id character varying, feature_name character varying, credits_spent integer, status character varying, expires_at timestamp with time zone, purchased_at timestamp with time zone, activated_at timestamp with time zone, is_active boolean, metadata jsonb, created_at timestamp with time zone, updated_at timestamp with time zone, is_flagged boolean, flagged_reason text, flagged_at timestamp with time zone, usage_pattern_score integer"
geography_columns,"f_table_catalog name, f_table_schema name, f_table_name name, f_geography_column name, coord_dimension integer, srid integer, type text"
geometry_columns,"f_table_catalog character varying, f_table_schema name, f_table_name name, f_geometry_column name, coord_dimension integer, srid integer, type character varying"
help_articles,"id uuid, title text, content text, category uuid, tags ARRAY, author text, views integer, helpful_count integer, is_featured boolean, is_published boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
help_categories,"id uuid, name text, description text, icon text, order_index integer, is_active boolean, faq_count integer, created_at timestamp with time zone, updated_at timestamp with time zone"
job_executions,"id uuid, job_type character varying, status character varying, details jsonb, executed_at timestamp with time zone, duration_ms integer, created_at timestamp with time zone"
listing_analytics,"id uuid, listing_id uuid, date date, views integer, favorites integer, messages integer, offers integer, created_at timestamp with time zone, updated_at timestamp with time zone, event_type text, event_data jsonb"
listing_images,"id uuid, listing_id uuid, image_url text, is_primary boolean, order_index integer, created_at timestamp with time zone"
listing_unique_views,"id uuid, listing_id uuid, viewer_id uuid, session_id text, created_at timestamp with time zone"
listing_views,"id uuid, listing_id uuid, viewer_id uuid, viewed_at timestamp with time zone, ip_address inet, user_agent text, referrer text, session_id text"
listings,"id uuid, user_id uuid, category_id uuid, title text, description text, price numeric, currency text, condition text, location_id uuid, status text, is_featured boolean, view_count integer, favorite_count integer, created_at timestamp with time zone, updated_at timestamp with time zone, region text, city text, payment_methods ARRAY, delivery_options ARRAY, is_negotiable boolean, expires_at timestamp with time zone, category_path text, featured_until timestamp with time zone, featured_type text, is_boosted boolean, boosted_until timestamp with time zone, boost_type text, has_video boolean, video_url text, priority_search boolean, priority_until timestamp with time zone, auto_refresh boolean, auto_refresh_until timestamp with time zone, max_images integer, last_view_update timestamp with time zone, sold_at timestamp with time zone, sold_to uuid, final_price numeric, decline_reason text, is_promoted boolean, promotion_type character varying, promotion_end_date timestamp with time zone, last_refreshed_at timestamp with time zone, auto_refresh_enabled boolean, auto_refresh_expires_at timestamp with time zone, is_free_listing boolean, location text, stock_quantity integer, variants jsonb, bulk_pricing_tiers jsonb, brand character varying, model character varying, warranty_duration character varying, warranty_description text, sku character varying, boost_on_publish boolean, highlight_featured boolean, is_draft boolean, max_images_allowed integer, delivery_methods jsonb, delivery_fee numeric, estimated_delivery_time character varying, is_business_listing boolean"
locations,"id uuid, name text, region text, country text, coordinates USER-DEFINED, created_at timestamp with time zone"
message_delivery,"id uuid, message_id uuid, status text, delivered_at timestamp with time zone, read_at timestamp with time zone, retry_count integer, error_message text, created_at timestamp with time zone"
message_reactions,"id uuid, message_id uuid, user_id uuid, reaction_type text, created_at timestamp with time zone"
messages,"id uuid, chat_id uuid, sender_id uuid, content text, message_type text, is_read boolean, created_at timestamp with time zone"
mobile_money_payments,"id uuid, transaction_id uuid, phone_number text, provider text, provider_reference text, callback_url text, callback_received boolean, callback_data jsonb, created_at timestamp with time zone, updated_at timestamp with time zone"
moderation_actions,"id uuid, content_type text, content_id uuid, action text, reason text, moderator_id uuid, moderator_name text, created_at timestamp with time zone, expires_at timestamp with time zone, is_active boolean"
monetization_analytics,"id uuid, date date, total_revenue numeric, total_transactions integer, unique_paying_users integer, new_paying_users integer, conversion_rate numeric, arpu numeric, ltv numeric, churn_rate numeric, top_features jsonb, payment_method_breakdown jsonb, fraud_detection_stats jsonb, created_at timestamp with time zone"
monetization_experiments,"id uuid, experiment_name text, description text, start_date timestamp with time zone, end_date timestamp with time zone, status text, control_group_size integer, test_group_size integer, success_metric text, results jsonb, created_by uuid, created_at timestamp with time zone, updated_at timestamp with time zone"
monetization_flags,"id uuid, target_type text, target_id uuid, reason text, status text, flagged_at timestamp with time zone, flagged_by uuid, resolved_at timestamp with time zone, resolution_reason text, created_at timestamp with time zone, updated_at timestamp with time zone"
notification_campaigns,"id uuid, name text, description text, template_id uuid, target_audience text, target_criteria jsonb, status text, scheduled_at timestamp with time zone, sent_count integer, total_count integer, created_at timestamp with time zone, updated_at timestamp with time zone"
notification_templates,"id uuid, name text, type text, title_template text, message_template text, variables ARRAY, is_active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
notifications,"id uuid, user_id uuid, title text, message text, type text, data jsonb, is_read boolean, created_at timestamp with time zone, sent_at timestamp with time zone, read_at timestamp with time zone"
offer_statistics,"listing_id uuid, total_offers integer, pending_offers integer, accepted_offers integer, declined_offers integer, average_offer numeric, highest_offer numeric, lowest_offer numeric, updated_at timestamp with time zone"
offers,"id uuid, listing_id uuid, buyer_id uuid, seller_id uuid, amount numeric, message text, status text, expires_at timestamp with time zone, created_at timestamp with time zone, updated_at timestamp with time zone, counter_count integer, last_counter_by uuid, decline_reason text"
page_views,"id uuid, user_id uuid, session_id text, page_url text, page_title text, referrer text, ip_address inet, user_agent text, device_type text, location text, view_duration integer, created_at timestamp with time zone"
payment_transactions,"id uuid, user_id uuid, purchase_id uuid, transaction_reference text, payment_method text, amount numeric, currency text, status text, gateway_reference text, gateway_response jsonb, failure_reason text, processed_at timestamp with time zone, created_at timestamp with time zone, updated_at timestamp with time zone"
paystack_authorizations,"id uuid, user_id uuid, customer_id uuid, authorization_code character varying, card_type character varying, last4 character varying, exp_month character varying, exp_year character varying, bin character varying, bank character varying, channel character varying, signature character varying, reusable boolean, country_code character varying, active boolean, created_at timestamp with time zone"
paystack_customers,"id uuid, user_id uuid, paystack_customer_id character varying, paystack_customer_code character varying, email character varying, first_name character varying, last_name character varying, phone character varying, active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
paystack_transactions,"id uuid, user_id uuid, paystack_reference character varying, paystack_access_code character varying, paystack_authorization_url text, paystack_transaction_id character varying, amount integer, currency character varying, email character varying, channels jsonb, status character varying, gateway_response text, paid_at timestamp with time zone, metadata jsonb, purpose character varying, purpose_details jsonb, created_at timestamp with time zone, updated_at timestamp with time zone"
paystack_webhook_events,"id uuid, event_type character varying, paystack_reference character varying, transaction_id uuid, webhook_data jsonb, signature character varying, processed boolean, processing_error text, created_at timestamp with time zone"
post_comments,"id uuid, post_id uuid, user_id uuid, parent_id uuid, content text, likes_count integer, created_at timestamp with time zone, moderation_status text, last_moderated_at timestamp with time zone, moderated_by uuid"
post_likes,"id uuid, post_id uuid, user_id uuid, created_at timestamp with time zone"
posts,"id uuid, user_id uuid, listing_id uuid, content text, image_url text, likes_count integer, comments_count integer, created_at timestamp with time zone, updated_at timestamp with time zone, view_count integer, is_sponsored boolean, sponsored_until timestamp with time zone, sponsored_budget numeric, sponsored_impressions integer, sponsored_clicks integer, sponsored_engagement_score numeric, moderation_status text, last_moderated_at timestamp with time zone, moderated_by uuid"
premium_features,"id uuid, feature_type text, name text, description text, price_ghs numeric, duration_days integer, duration_hours integer, is_active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
privacy_audit_log,"id uuid, user_id uuid, action text, details jsonb, ip_address inet, user_agent text, created_at timestamp with time zone"
profile_verification,"id uuid, user_id uuid, verification_type text, status text, documents jsonb, submitted_at timestamp with time zone, reviewed_at timestamp with time zone, reviewer_notes text"
profile_views,"id uuid, profile_id uuid, viewer_id uuid, viewed_at timestamp with time zone, ip_address inet, user_agent text"
profiles,"id uuid, email text, full_name text, avatar_url text, phone text, location text, bio text, rating numeric, total_reviews integer, is_verified boolean, membership_tier text, created_at timestamp with time zone, updated_at timestamp with time zone, two_factor_enabled boolean, two_factor_secret text, verification_level text, verification_badges jsonb, verification_score integer, last_verification_update timestamp with time zone, is_business_profile boolean, business_name character varying, business_description text, whatsapp_number character varying, city text, region text, average_rating numeric, is_online boolean, last_seen_at timestamp with time zone, credits integer, business_hours text, business_type text, business_website text, business_social_links jsonb, business_registration_number text, business_address text, subscription_plan character varying, subscription_tier character varying, trial_boosts_used integer, trial_boost_eligible boolean, role text, is_admin boolean, admin_permissions jsonb, last_sign_in_at timestamp with time zone, failed_login_attempts integer, account_locked boolean, locked_until timestamp with time zone"
rate_limits,"id uuid, user_id uuid, ip_address inet, endpoint text, request_count integer, window_start timestamp with time zone, window_end timestamp with time zone, created_at timestamp with time zone"
refunds,"id uuid, original_payment_id uuid, user_id uuid, refund_amount numeric, refund_reason text, refund_status text, processed_by uuid, processed_at timestamp with time zone, payment_gateway_response jsonb, created_at timestamp with time zone, updated_at timestamp with time zone"
reports,"id uuid, reporter_id uuid, reported_post_id uuid, reported_comment_id uuid, reported_user_id uuid, reason text, description text, status text, created_at timestamp with time zone, updated_at timestamp with time zone, resolved_at timestamp with time zone, resolved_by uuid, resolution_notes text, action_taken text, reported_message_id uuid, reported_conversation_id uuid"
revenue_forecasts,"id uuid, forecast_date date, forecast_period text, predicted_revenue numeric, confidence_level numeric, model_used text, actual_revenue numeric, accuracy_score numeric, created_at timestamp with time zone, updated_at timestamp with time zone"
review_helpful,"id uuid, review_id uuid, user_id uuid, is_helpful boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
review_helpfulness,"id uuid, review_id uuid, user_id uuid, is_helpful boolean, created_at timestamp with time zone"
review_reports,"id uuid, review_id uuid, reporter_id uuid, reason text, description text, status text, created_at timestamp with time zone, resolved_at timestamp with time zone"
review_responses,"id uuid, review_id uuid, parent_response_id uuid, author_id uuid, content text, response_type text, is_edited boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
reviews,"id uuid, listing_id uuid, reviewer_id uuid, reviewee_id uuid, rating integer, comment text, transaction_type text, created_at timestamp with time zone, offer_id uuid, is_helpful boolean, helpful_count integer, updated_at timestamp with time zone, is_verified_purchase boolean, seller_response text, seller_response_at timestamp with time zone, is_featured boolean, moderation_status text, not_helpful_count integer, response_count integer, last_moderated_at timestamp with time zone, moderated_by text, moderation_reason text, reported_count integer"
reward_system_health,"metric text, value bigint, status text"
saved_posts,"id uuid, user_id uuid, post_id uuid, created_at timestamp with time zone, updated_at timestamp with time zone"
saved_searches,"id uuid, user_id uuid, name text, query text, filters jsonb, is_active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
search_history,"id uuid, user_id uuid, query text, filters jsonb, result_count integer, search_type text, created_at timestamp with time zone"
